player_name,role,total_runs,strike_rate,total_balls_faced,total_wickets_taken,total_runs_conceded,total_overs_bowled,total_matches_played,matches_played_as_batter,matches_played_as_bowler,matches_won,matches_lost,player_of_match_awards,team,average
Yousuf Youhana,Batter,1740,78.80434783,2208,0,1,1,464,464,0,224,240,4,Pakistan,
Haris Sohail,Batter,1709,85.02487562,2010,13,593,613,468,468,0,227,241,2,Pakistan,131.4615385
NJ O'Brien,Batter,1692,70.67669173,2394,0,0,0,161,161,0,57,104,2,Ireland,
MP O'Dowd,Batter,1682,68.90618599,2441,1,129,127,90,90,0,29,61,4,Netherlands,1682
DN Wyatt,Batter,1680,90.76175041,1851,14,447,537,513,513,0,292,221,4,England,120
DJS Dottin,Batter,1679,81.11111111,2070,53,1209,1496,428,428,0,165,263,4,West Indies,31.67924528
HG Munsey,Batter,1675,85.15505846,1967,0,0,0,101,101,0,54,47,1,Scotland,
MH Cross,Batter,1675,67.9788961,2464,0,0,0,101,101,0,54,47,3,Scotland,
DJ Hussey,Batter,1672,87.44769874,1912,19,694,791,545,545,0,381,164,1,Australia,88
SJ Taylor,Batter,1651,85.45548654,1932,0,0,0,507,507,0,291,216,6,England,
AT Rayudu,Batter,1637,76.38824078,2143,3,128,124,575,575,0,356,219,3,India,545.6666667
RK Paudel,Batter,1629,73.24640288,2224,10,238,346,65,65,0,33,32,5,Nepal,162.9
KD Karthik,Batter,1624,71.38461538,2275,0,0,0,569,569,0,352,217,1,India,
HT Tector,Batter,1622,83.99792853,1931,2,149,148,163,163,0,59,104,0,Ireland,811
DJ Mitchell,Batter,1616,96.5929468,1673,13,293,315,431,431,0,224,207,0,New Zealand,124.3076923
N Dickwella,Batter,1604,91.24004551,1758,0,0,0,512,512,0,237,275,1,Sri Lanka,
Sidra Ameen,Batter,1595,63.04347826,2530,0,0,0,459,459,0,221,238,5,Pakistan,
MD Gunathilaka,Batter,1592,83.83359663,1899,8,375,405,507,507,0,236,271,2,Sri Lanka,199
OA Shah,Batter,1579,80.43810494,1963,7,184,199,502,502,0,287,215,2,England,225.5714286
NJ Astle,Batter,1571,75.60153994,2078,8,346,404,434,434,0,225,209,5,New Zealand,196.375
T Bavuma,Batter,1548,87.26042841,1774,0,22,37,443,443,0,272,171,2,South Africa,
J Charles,Batter,1544,83.91304348,1840,0,12,7,430,430,0,166,264,3,West Indies,
UT Khawaja,Batter,1539,82.52010724,1865,0,0,0,542,542,0,380,162,3,Australia,
JDS Neesham,Batter,1508,98.04941482,1538,71,2573,2512,439,439,0,228,211,1,New Zealand,21.23943662
CK Kapugedera,Batter,1505,69.77283264,2157,2,226,271,510,510,0,237,273,1,Sri Lanka,752.5
SA Edwards,Batter,1504,90.6570223,1659,0,0,0,90,90,0,29,61,3,Netherlands,
MP Stoinis,Batter,1489,91.80024661,1622,48,2067,2073,543,543,0,381,162,1,Australia,31.02083333
Yasir Hameed,Batter,1459,65.57303371,2225,0,0,0,464,464,0,224,240,4,Pakistan,
NE Bolton,Batter,1443,69.7438376,2069,2,37,30,516,516,0,360,156,6,Australia,721.5
CL Tryon,Batter,1440,107.1428571,1344,40,1445,1914,464,464,0,285,179,4,South Africa,36
PG Raut,Batter,1436,61.10638298,2350,0,0,0,578,578,0,359,219,3,India,
WA Young,Batter,1426,86.16314199,1655,0,0,0,416,416,0,219,197,5,New Zealand,
Aasif Sheikh,Batter,1423,73.23726197,1943,0,0,0,65,65,0,33,32,5,Nepal,
DJ Malan,Batter,1418,94.28191489,1504,1,17,15,519,519,0,295,224,4,England,1418
