player_name,Total_Balls_Faced,Total_Runs,Runs_Per_Ball
S Prasanna,460,421,0.9152173913043479
A Johnson,460,438,0.9521739130434783
HS Modi,457,205,0.4485776805251641
SP Narine,455,363,0.7978021978021979
SE Rutherford,450,497,1.1044444444444443
R Rampaul,450,338,0.7511111111111111
JP Kotze,449,316,0.7037861915367484
R Mutumbami,447,319,0.7136465324384788
B Bhandari,443,265,0.5981941309255079
R Trumpelmann,441,350,0.7936507936507936
FC Wilson,441,412,0.9342403628117913
S Chattergoon,441,281,0.63718820861678
K Birkenstock,438,233,0.5319634703196348
B de Leede,435,289,0.664367816091954
ASS Fletcher,434,282,0.6497695852534562
CN Ackermann,434,326,0.7511520737327189
Asmavia Iqbal,430,225,0.5232558139534884
IDR Bradshaw,423,259,0.6122931442080378
AR Cusack,422,264,0.6255924170616114
C Brits,421,292,0.6935866983372921
R Stokell,421,247,0.5866983372921615
H Karunaratne,420,190,0.4523809523809524
AC Botha,419,265,0.6324582338902148
Adnan Mufti,413,328,0.7941888619854721
MK Tiwary,412,287,0.6966019417475728
BB Chari,412,186,0.45145631067961167
Kuldeep Yadav,411,195,0.4744525547445255
GE Plimmer,410,256,0.624390243902439
AJ Stewart,409,287,0.7017114914425427
Rashid Latif,408,335,0.821078431372549
Umar Amin,408,271,0.6642156862745098
M Musonda,405,262,0.6469135802469136
A Saud,401,189,0.4713216957605985
AC Agar,400,322,0.805
HMD Rasangika,400,232,0.58
Ali Naseer,399,396,0.9924812030075187
T de Zorzi,399,381,0.9548872180451128
SS Pathirana,399,332,0.8320802005012531
N Chaiwai,398,244,0.6130653266331658
LM Jongwe,398,315,0.7914572864321608
A Capsey,395,283,0.7164556962025317
LMM Tahuhu,395,340,0.8607594936708861
UDU Chandana,393,260,0.6615776081424937
JM Davison,393,443,1.1272264631043256
S Mostary,391,224,0.5728900255754475
AF Giles,390,286,0.7333333333333333
S Randiv,390,280,0.717948717948718
IS Billcliff,389,223,0.5732647814910026
GH Worker,389,272,0.699228791773779
Amjad Ali,387,249,0.6434108527131783
Washington Sundar,386,315,0.8160621761658031
A Sharafu,385,257,0.6675324675324675
AM Samad,382,226,0.5916230366492147
Diana Baig,380,262,0.6894736842105263
Iram Javed,380,216,0.5684210526315789
BM Scholtz,380,251,0.6605263157894737
DN Wellalage,380,285,0.75
SK Patel,379,278,0.7335092348284961
DC Thomas,379,238,0.6279683377308707
Musa Ahmed,379,238,0.6279683377308707
A Athanaze,378,306,0.8095238095238095
CS Mugeri-Tiripano,378,280,0.7407407407407407
R Chopra,377,260,0.6896551724137931
AJ Hosein,375,266,0.7093333333333334
JP Bray,371,234,0.6307277628032345
B Bezuidenhout,370,266,0.7189189189189189
T Ruma,368,232,0.6304347826086957
B Zuiderent,368,178,0.483695652173913
MD Dai,367,277,0.7547683923705722
ML Udawatte,367,243,0.662125340599455
NFI McCallum,366,233,0.6366120218579235
AK Sah,365,320,0.8767123287671232
MO Odumbe,363,324,0.8925619834710744
TM Dowlin,362,228,0.6298342541436464
NY McLean,362,231,0.638121546961326
D Dhingra,362,237,0.6546961325966851
IH Romaine,360,175,0.4861111111111111
Tanzid Hasan,360,364,1.011111111111111
KE Bryce,358,301,0.840782122905028
Shamsur Rahman,357,266,0.7450980392156863
S Horley,356,276,0.7752808988764045
RM Haq,354,181,0.5112994350282486
C Tear,354,237,0.6694915254237288
C Madande,353,251,0.7110481586402266
KDU Prabodhani,353,126,0.35694050991501414
IJR Zwilling,351,145,0.4131054131054131
PA Nixon,351,297,0.8461538461538461
Lata Mondal,349,170,0.4871060171919771
WP Masakadza,345,204,0.591304347826087
S Forbes,342,175,0.5116959064327485
KP Meiyappan,342,163,0.4766081871345029
R Rijke,339,238,0.7020648967551623
T Marumani,338,214,0.6331360946745562
DR Chumney,336,219,0.6517857142857143
Naseem Khushi,335,360,1.0746268656716418
JM Fields,333,215,0.6456456456456456
TK Curran,332,303,0.9126506024096386
Saud Shakeel,328,283,0.8628048780487805
Jahurul Islam,325,226,0.6953846153846154
CT Dhururu,325,140,0.4307692307692308
Nashra Sandhu,323,89,0.2755417956656347
Khurram Manzoor,323,206,0.6377708978328174
N Vare,323,138,0.42724458204334365
SMSM Senanayake,321,290,0.9034267912772586
Moin Khan,318,274,0.8616352201257862
LE Bosman,318,301,0.9465408805031447
Kashif Daud,318,282,0.8867924528301887
Saeed Anwar,318,218,0.6855345911949685
P Khadka,317,252,0.7949526813880127
Asif Ali,317,375,1.1829652996845426
GJ Hopkins,317,236,0.7444794952681388
