player_name,total_runs,total_wickets_taken,player_of_match_awards,Impact_Score
D la Cock,313,0,0,313
ADS Fletcher,305,0,0,305
Shamima Sultana,304,0,0,304
DO Obuya,302,0,0,302
AB Dinda,21,14,0,301
JL Pattinson,41,13,0,301
G Sultana,61,12,0,301
LE Bosman,301,0,0,301
PA Nixon,297,0,0,297
SL Quintyne,117,9,0,297
IA Karim,196,0,1,296
L Winfield-Hill,294,0,0,294
A Mazvishaya,54,12,0,294
V Araa,71,11,0,291
MV Waldron,290,0,0,290
Tushar Imran,250,2,0,290
B de Leede,289,0,0,289
PP Shaw,189,0,1,289
RD Rickelton,188,0,1,288
KK Ahmed,8,14,0,288
Shorna Akter,147,7,0,287
AJ Stewart,287,0,0,287
G Kodali,46,7,1,286
J Sumerauer,84,10,0,284
PA Chatterji,123,8,0,283
AAP Atkinson,63,11,0,283
S Chattergoon,281,0,0,281
ES Szwarczynski,281,0,0,281
CS Mugeri-Tiripano,280,0,0,280
Hannan Sarkar,280,0,0,280
S Nisansala,20,8,1,280
TD Smartt,40,12,0,280
D Langford-Smith,79,10,0,279
AI Chudasama,79,10,0,279
J Kila,159,6,0,279
DC Thomas,238,2,0,278
R Klein,38,12,0,278
JAD Lawrenson,177,0,1,277
DM Kimmince,37,7,1,277
RJ Trott,95,9,0,275
AM Hardie,134,7,0,274
Moin Khan,274,0,0,274
HHC Gunaratne,13,8,1,273
T Ruma,232,2,0,272
GH Worker,272,0,0,272
Umar Amin,271,0,0,271
S Tippoch,89,9,0,269
AM Samad,226,2,0,266
B Bezuidenhout,266,0,0,266
TA Blundell,266,0,0,266
B Bhandari,265,0,0,265
T Kamungozi,25,12,0,265
N Boochatham,64,10,0,264
L Tshuma,63,10,0,263
Umran Malik,2,13,0,262
Sadaf Shamas,262,0,0,262
P Siaka,160,5,0,260
A Sharafu,257,0,0,257
AGS Gous,157,0,1,257
DE Budge,237,1,0,257
GE Plimmer,256,0,0,256
Kainat Imtiaz,115,7,0,255
A Codrington,33,6,1,253
A Rawat,153,0,1,253
KD Shah,112,7,0,252
C Madande,251,0,0,251
Mohammad Aadil Alam,70,9,0,250
KO Otieno,250,0,0,250
HDPK Dharmasena,129,6,0,249
KO Meth,49,10,0,249
Amjad Ali,249,0,0,249
R Stokell,247,0,0,247
JG Bethell,167,4,0,247
SZ Thakor,46,10,0,246
Azhar Mahmood,126,6,0,246
NC Dodd,145,0,1,245
Nestor Dhamba,23,11,0,243
PT Collins,3,12,0,243
ML Udawatte,243,0,0,243
CS Fraser,62,9,0,242
T Maruma,122,6,0,242
E Schiferli,79,8,0,239
HJ Thomas,59,9,0,239
ARI Umeed,138,0,1,238
Musa Ahmed,238,0,0,238
Saeed Anwar,218,1,0,238
C Tear,237,0,0,237
D Dhingra,237,0,0,237
Iram Javed,216,1,0,236
CR Pagydyala,136,0,1,236
GJ Hopkins,236,0,0,236
NFI McCallum,233,0,0,233
P Maya,53,9,0,233
FR Davies,13,11,0,233
AM Tribe,233,0,0,233
NY McLean,231,0,0,231
AA Paradkar,51,9,0,231
H Karunaratne,190,2,0,230
Bilawal Bhatti,89,7,0,229
AS van Beuge,68,8,0,228
CNIM Joyce,228,0,0,228
TM Dowlin,228,0,0,228
RC Irani,67,8,0,227
AR Odedara,126,0,1,226
Jahurul Islam,226,0,0,226
ML Nkala,125,5,0,225
S Mostary,224,0,0,224
T Duffin,224,0,0,224
BR McDermott,223,0,0,223
IS Billcliff,223,0,0,223
CT Mutombodzi,122,5,0,222
P Mustard,219,0,0,219
DR Chumney,219,0,0,219
CMG Atkins,117,0,1,217
NR Kumar,177,2,0,217
M Levitt,196,1,0,216
H Patel,176,2,0,216
JM Fields,215,0,0,215
MW Short,195,1,0,215
T Marumani,214,0,0,214
C Sutthiruang,73,7,0,213
MM Penfold,12,10,0,212
