player_name,matches_played_as_batter,total_runs,Strike_Rate
SSB Magala,419,18,72.0
W Sutherland,488,18,54.55
TCB Fernando,509,18,46.15
R MacDonald-Gay,490,17,121.43
SDNS Karunaratne,372,17,121.43
JA Clarkson,326,17,70.83
Waqar Younis,426,17,68.0
CP Jack,331,17,65.38
J Sharma,396,17,51.52
Saqlain Mushtaq,426,17,43.59
SJ Andrews,416,16,44.44
F Walters,247,16,33.33
SK Dolawatte,464,16,28.57
IECM Wong,428,15,166.67
Zafar Gohar,437,15,100.0
SA Millanta,495,15,78.95
F Tunnicliffe,214,15,71.43
HM Watson,329,15,57.69
EMDY Munaweera,459,15,51.72
I Dulani,428,15,42.86
HD Rutherford,438,15,26.79
G Chapple,474,14,200.0
FC Jonas,428,14,24.56
L Cheatle,428,13,100.0
HHC Gunaratne,372,13,65.0
GM Harris,450,13,59.09
OEG Baartman,424,13,54.17
Usman Salahuddin,415,13,46.43
FR Davies,476,13,30.95
HIS Mendis,347,13,26.0
TW Hartley,283,12,133.33
TS Nethula,359,12,109.09
MM Penfold,428,12,23.08
AJ Ireland,249,12,18.75
SC Kuggeleijn,415,11,183.33
SV Bahutule,534,11,84.62
Javeria Rauf,456,11,68.75
Saad Ali,335,11,47.83
MG Neser,512,11,37.93
A Ashok,245,10,83.33
GC Tonge,355,10,62.5
Mukesh Kumar,580,10,58.82
RS Vandort,372,10,58.82
JW Ogle-Thomas,308,10,58.82
W Jaffer,539,10,43.48
A Martin,422,10,34.48
T Muzarabani,267,10,31.25
TR Ambrose,461,10,29.41
MA Aponso,498,10,22.22
Zahid Mahmood,317,9,75.0
VB van Jaarsveld,399,9,56.25
F Kasteni,230,9,37.5
