player_name,total_matches_played,matches_won,total_runs,player_of_match_awards,POTM_Rate
Moin Khan,448,219,274,0,0.0
DT Christian,532,371,273,0,0.0
GH Worker,415,218,272,0,0.0
Umar Amin,460,222,271,0,0.0
G Toka,63,12,268,0,0.0
TA Blundell,416,219,266,0,0.0
B Bezuidenhout,433,225,266,0,0.0
AJ Hosein,407,157,266,0,0.0
AC Botha,152,53,265,0,0.0
B Bhandari,60,30,265,0,0.0
Diana Baig,463,223,262,0,0.0
Sadaf Shamas,434,212,262,0,0.0
A Sharafu,94,32,257,0,0.0
GE Plimmer,428,222,256,0,0.0
C Madande,273,66,251,0,0.0
Tushar Imran,346,134,250,0,0.0
KO Otieno,38,13,250,0,0.0
Amjad Ali,97,33,249,0,0.0
R Stokell,157,56,247,0,0.0
ML Udawatte,499,232,243,0,0.0
