player_name,Total_Runs,POM_Awards
SA Wijeratne,191,0
SA Millanta,15,0
SA Fritz,28,0
SA Engelbrecht,327,0
S Verma,135,0
S Tippoch,89,0
S Thuraisingam,26,0
S Sriram,3,0
S Laomi,61,0
S Siegers,11,0
S Rana,184,0
S Prasanna,421,0
S Naik,25,0
S Movva,324,0
S Mostary,224,0
S Meghana,114,0
S Matsikenyeri,1309,0
S Sriharsha,200,0
RP Lefebvre,43,0
RP Arnold,1039,0
RP Alexander,34,0
RO Hussain,10,0
RO Hinds,8,0
RN Bhatia,51,0
RMVD Gunaratne,401,0
RML Taylor,105,0
Raza Hasan,0,0
RM Patidar,22,0
RM Jariwala,30,0
RM Ghosh,690,0
RL Bhudia,22,0
RK Whelan,5,0
RK Singh,55,0
RK Kleinveldt,105,0
RJ Trott,95,0
RM van Oosterom,15,0
Ravinderpal Singh,77,0
Rashid Zia,9,0
Rashid Latif,335,0
Raqibul Hasan,1177,0
Rabiya Shah,80,0
RWT Key,36,0
RW Staple,4,0
RW Sims,24,0
RR Ramdass,1,0
RV Uthappa,934,0
RTM Mendis,50,0
RT Lyons,5,0
RT Crandon,5,0
RS Williams,477,0
RS Vandort,10,0
RS Kaluwitharana,124,0
RS Gavaskar,93,0
RW Chakabva,1106,0
SS Tiwary,49,0
SS Pathirana,332,0
SS McKechnie,73,0
SRH Curtis,156,0
SR Waters,67,0
SR Thompson,178,0
SR Thadani,6,0
SR Hain,106,0
SA Yadav,773,0
SP Terry,16,0
SP Patil,153,0
SP Krishnamurthi,77,0
SP Khakurel,78,0
SO Tikolo,705,0
SO Dowrich,6,0
SMA Priyanjan,420,0
SM Warnapura,30,0
SP de Alwis,28,0
Salman Faris,0,0
Saleem Elahi,199,0
Sagar Pun,3,0
Saeed Anwar,218,0
Sadia Iqbal,28,0
Sadaf Shamas,262,0
Sabbir Rahman,1259,0
Saad Bin Zafar,217,0
SS Weerakkody,328,0
SZ Thakor,46,0
SW Poynter,74,0
SW Currie,10,0
SW Billings,690,0
SV Carlisle,110,0
SV Bahutule,11,0
ST Doheny,165,0
SSD Arachchige,89,0
Saad Ali,11,0
SI Galagedara,0,0
SHT Kandamby,827,0
SG Whittingham,5,0
SG Borthwick,18,0
SF Daley,141,0
SE Findlay,88,0
SE Aley,15,0
SDNS Karunaratne,17,0
SM Kavanagh,126,0
SD Outerbridge,72,0
SD Heazlett,4,0
SC Taylor,77,0
SC Meaker,2,0
SC Kuggeleijn,11,0
SC Joseph,77,0
SB Bangar,8,0
SACA King,126,0
SD Udal,0,0
SM Katich,1041,0
SM Benade,100,0
SL Stewart,26,0
SL Quintyne,117,0
SL Kalis,106,0
SKW Kelly,7,0
SK Naidu,0,0
SK Dolawatte,16,0
SI Kamea,18,0
SJ Tsukigawa,39,0
SJ Swanepoel,43,0
SJ McGlashan,160,0
SJ Massiah,23,0
SJ Elliott,8,0
SJ Bryce,171,0
SJ Baard,326,0
SJ Andrews,16,0
SK Atai,90,0
DC Thomas,238,0
DA Minors,104,0
DA Gunawardene,322,0
D la Cock,313,0
D Soraine,3,0
D Ravu,128,0
D Prins,7,0
D Parashar,58,0
LMM Tahuhu,340,0
D Murphy,9,0
D Langford-Smith,79,0
D Lakshan,2,0
D Khanal,329,0
D Keulder,132,0
D Joseph,13,0
D Hazell,109,0
D Ganga,152,0
D Gamage,3,0
D Myers,138,0
DR Brown,72,0
DP Hyatt,112,0
DOD Rikhi,3,0
DO Obuya,302,0
DO Leicher,32,0
DM Richards,179,0
DLS van Bunge,293,0
DL Blake,0,0
