player_name,Total_Wickets,Total_Overs,Total_Runs,Wickets_Per_Over,Runs_Per_Wicket
MS Dhoni,1,38,32,0.026,32.0
Mudassar Bukhari,16,606,515,0.026,32.19
M van Lingen,2,76,65,0.026,32.5
S Randiv,38,1447,1240,0.026,32.63
Mashrafe Mortaza,227,8756,7441,0.026,32.78
SO Tikolo,28,1089,919,0.026,32.82
DN Wellalage,27,1040,909,0.026,33.67
SMA Priyanjan,7,270,236,0.026,33.71
MKDI Amerasinghe,10,391,339,0.026,33.9
JA Morkel,50,1900,1736,0.026,34.72
JO Holder,162,6205,5712,0.026,35.26
M Vijay,1,38,38,0.026,38.0
SE Rutherford,3,115,161,0.026,53.67
AI Chudasama,10,405,250,0.025,25.0
D Hazell,34,1375,904,0.025,26.59
V Sukumaran,3,122,83,0.025,27.67
H Thaker,22,882,617,0.025,28.05
WPUJC Vaas,118,4806,3317,0.025,28.11
FR Davies,11,439,316,0.025,28.73
Kashif Daud,17,676,495,0.025,29.12
SS Weerakkody,28,1122,826,0.025,29.5
Rohan Mustafa,87,3508,2654,0.025,30.51
Syed Rasel,53,2095,1634,0.025,30.83
SMSM Senanayake,60,2384,1892,0.025,31.53
S Rana,26,1030,820,0.025,31.54
CH Gayle,112,4517,3569,0.025,31.87
TS Chisoro,12,488,383,0.025,31.92
Umaima Sohail,18,711,584,0.025,32.44
Mehedi Hasan Miraz,107,4240,3511,0.025,32.81
B Muzarabani,54,2131,1794,0.025,33.22
MJ Clarke,56,2264,1868,0.025,33.36
N Vanua,56,2223,1880,0.025,33.57
L Klusener,12,476,403,0.025,33.58
J Kila,6,239,203,0.025,33.83
O Prendergast,18,733,616,0.025,34.22
PP Chawla,33,1330,1131,0.025,34.27
RK Kleinveldt,12,481,415,0.025,34.58
Yuvraj Singh,99,4028,3438,0.025,34.73
D Joseph,5,202,174,0.025,34.8
Mohammad Nawaz (3),17,690,595,0.025,35.0
RML Taylor,11,437,386,0.025,35.09
MC Henriques,10,408,354,0.025,35.4
MR Marsh,57,2257,2047,0.025,35.91
HH Pandya,81,3218,2919,0.025,36.04
P Vastrakar,29,1155,1049,0.025,36.17
KJ O'Brien,60,2392,2221,0.025,37.02
C Green,21,841,788,0.025,37.52
LM Jongwe,28,1126,1083,0.025,38.68
HDRS Silva,2,80,83,0.025,41.5
KO Meth,10,400,416,0.025,41.6
Javeria Rauf,1,40,47,0.025,47.0
TD Smartt,12,508,319,0.024,26.58
Aayan Afzal Khan,43,1801,1202,0.024,27.95
DS Airee,46,1919,1287,0.024,27.98
SSD Arachchige,1,42,28,0.024,28.0
SD Udal,1,42,29,0.024,29.0
SW Currie,3,126,87,0.024,29.0
A Mazvishaya,12,491,350,0.024,29.17
Kushal Malla,26,1068,766,0.024,29.46
MD Dai,13,545,387,0.024,29.77
Saad Bin Zafar,25,1063,760,0.024,30.4
PP Ojha,21,882,660,0.024,31.43
AR Patel,67,2804,2117,0.024,31.6
I Ranaweera,62,2569,1975,0.024,31.85
Saqlain Mushtaq,4,166,132,0.024,33.0
CA Henry,33,1354,1105,0.024,33.48
Abdul Razzaq,110,4518,3694,0.024,33.58
LHD Dilhara,3,126,101,0.024,33.67
TS Roland-Jones,1,42,34,0.024,34.0
PA de Silva,14,572,487,0.024,34.79
M Kartik,30,1227,1048,0.024,34.93
KM Jadhav,28,1173,1005,0.024,35.89
JP Behrendorff,16,656,581,0.024,36.31
DJ Hussey,19,791,694,0.024,36.53
Avesh Khan,9,371,330,0.024,36.67
SKW Kelly,2,84,74,0.024,37.0
YK Pathan,37,1517,1379,0.024,37.27
AC Jayangani,34,1421,1295,0.024,38.09
AJ Ireland,16,674,612,0.024,38.25
K Mahato,2,85,77,0.024,38.5
PLS Gamage,10,418,397,0.024,39.7
AC Voges,6,247,240,0.024,40.0
GD Phillips,13,547,541,0.024,41.62
I Udana,22,908,928,0.024,42.18
AT Rayudu,3,124,128,0.024,42.67
Muhammad Jawadullah,7,288,316,0.024,45.14
JI de Villiers,3,126,140,0.024,46.67
RR Hendricks,1,42,47,0.024,47.0
M Labuschagne,6,254,284,0.024,47.33
HJ Thomas,9,392,246,0.023,27.33
R Ntozakhe,21,912,582,0.023,27.71
L Lee,2,86,56,0.023,28.0
A Vala,47,2017,1320,0.023,28.09
G Sultana,12,518,338,0.023,28.17
U Bhatti,12,516,350,0.023,29.17
