player_name,Overall_Strike_Rate
LD Chandimal,72.10173502
N de Klerk,72.09302326
Mohammad Boota,72.08333333
SSB Magala,72.0
CM Edwards,71.99453552
Babar Hayat,71.96261682
Ravinderpal Singh,71.96261682
JWM Dalrymple,71.93500739
JJ Smit,71.89374464
B Bezuidenhout,71.89189189
S Randiv,71.79487179
Sompal Kami,71.70900693
A Capsey,71.64556962
AL Hodgkinson,71.59763314
LMP Simmons,71.43378329
JR Philippe,71.42857143
MKDI Amerasinghe,71.42857143
F Tunnicliffe,71.42857143
A Lister,71.42857143
KD Karthik,71.38461538
Jatinder Singh,71.36842105
R Mutumbami,71.36465324
JL Ontong,71.32352941
L Wolvaardt,71.20941848
HDRL Thirimanne,71.19711971
DEM Carter,71.17437722
DM Kimmince,71.15384615
D Myers,71.13402062
R Dravid,71.10851354
C Madande,71.10481586
MB Kruger,70.96774194
AJ Hosein,70.93333333
LPC Silva,70.85872576
JA Clarkson,70.83333333
L Winfield,70.76537014
DS Airee,70.74774035
NJ O'Brien,70.67669173
BM Halliday,70.64846416
CMW Read,70.58823529
DS Smith,70.55837563
Ahmed Shehzad,70.52166713
PG Fulton,70.45191194
CM McBride,70.4379562
JP Kotze,70.37861915
M Bhanuka,70.35175879
A Flower,70.33898305
Vikramjit Singh,70.33096927
TS Chisoro,70.32258065
B Fernando,70.27027027
SP Fleming,70.256917
SC Ganguly,70.25371829
ML Nkala,70.2247191
R Rijke,70.20648968
Q Joseph,70.19607843
NV Knight,70.1863354
AJ Stewart,70.17114914
GS Ballance,70.17001546
MNK Fernando,70.09345794
H Masakadza,70.04959263
T Mishra,70.03546099
ND McKenzie,70.0
RMVD Gunaratne,69.98254799
GH Worker,69.92287918
YH Bhatia,69.88457503
Sandeep Goud,69.84334204
SM Sharif,69.78723404
CK Kapugedera,69.77283264
NE Bolton,69.7438376
RP Arnold,69.68477532
MK Tiwary,69.66019417
M du Preez,69.59924859
Fatima Sana,69.54022989
Jahurul Islam,69.53846154
WP Saha,69.49152542
SA Wijeratne,69.45454545
VS Solanki,69.43048576
C Brits,69.35866983
K Klein,69.31818182
Mudassar Bukhari,69.23076923
EC Joyce,69.2048012
D Gough,69.19191919
AA Obanda,69.17613636
CD de Lange,69.14893617
JL Denly,69.14728682
Akshay Homraj,69.13043478
T Brits,69.1292876
TM Odoyo,69.10907577
SHT Kandamby,69.03171953
A Sharma,69.01709402
M McColl,68.96551724
R Chopra,68.96551724
Diana Baig,68.94736842
MP O'Dowd,68.90618599
RS Kaluwitharana,68.88888889
TD Paine,68.88
DM Richards,68.84615385
A Aitken-Drummond,68.75
Javeria Rauf,68.75
Hamza Tariq,68.75
A Vala,68.73554356
KA Hope,68.65671642
N Chantam,68.65021771
SM Katich,68.62228082
Abdul Jabbar,68.60465116
Imrul Kayes,68.60465116
A Ndiraya,68.58974359
Zulqarnain Haider,68.57142857
Saeed Anwar,68.55345912
ID Blackwell,68.54460094
N Gwanzura,68.51851852
T Chetty,68.50775194
SJ McGlashan,68.37606838
L Vincent,68.36158192
Zubayr Hamza,68.29268293
LP van Troost,68.29268293
M Raj,68.26388889
D Khanal,68.25726141
M Karg,68.18181818
RD Steede,68.18181818
P Siaka,68.08510638
Waqar Younis,68.0
MH Cross,67.9788961
NRJ Croes,67.86885246
S Chanderpaul,67.86797502
CS Baugh,67.85079929
S Sriharsha,67.79661017
ML Green,67.7093359
JW Jenner,67.61363636
AG Prince,67.58436945
MJ Bulow,67.56756757
HJH Marshall,67.44897959
A Neill,67.44186047
HH Dippenaar,67.41986337
Adnan Akmal,67.39130435
WTS Porterfield,67.39020697
Imran Tahir,67.38197425
Shan Masood,67.3553719
MN van Wyk,67.35340729
WPUJC Vaas,67.33727811
T Bhatia,67.31707317
V Aravind,67.23823422
S Movva,67.21991701
DM Bravo,67.19553073
T Munyonga,67.15328467
R Kanoh,67.11409396
RW Chakabva,67.03030303
T Taibu,66.95775313
GM Ewing,66.95652174
C Tear,66.94915254
Shahriar Nafees,66.92350028
JN Mohammed,66.84607104
MS Atapattu,66.82432432
H Thaker,66.81222707
JA Rudolph,66.7752443
