player_name,total_matches_played,matches_won,total_runs,Strike_Rate,Win_Percentage
SIR Dunkley,513,292,789,79.46,56.92007797270955
EL Lamb,513,292,396,83.72,56.92007797270955
A Capsey,513,292,283,71.65,56.92007797270955
KR Sen,285,162,2,50.0,56.8421052631579
Shahbaz Ahmed,285,162,0,0.0,56.8421052631579
JC Buttler,519,295,5018,114.83,56.84007707129094
JJ Roy,519,295,4237,102.94,56.84007707129094
MM Ali,519,295,2278,94.21,56.84007707129094
DJ Malan,519,295,1418,94.28,56.84007707129094
SW Billings,519,295,690,89.84,56.84007707129094
JM Vince,519,295,590,86.51,56.84007707129094
AR Odedara,37,21,126,43.9,56.75675675675676
Hammad Mirza,37,21,58,54.72,56.75675675675676
Wasim Ali,37,21,26,45.61,56.75675675675676
Pankaj Singh,67,38,3,100.0,56.71641791044776
NV Ojha,67,38,1,11.11,56.71641791044776
TS Roland-Jones,85,48,37,97.37,56.470588235294116
Khalid Kail,41,23,117,74.05,56.09756097560975
G Fontenla,59,33,1,33.33,55.932203389830505
MC Patel,68,38,13,37.14,55.88235294117647
Sufiyan Muqeem,68,38,0,0.0,55.88235294117647
AA Shafique,43,24,13,39.39,55.81395348837209
J Jarvis,63,35,28,47.46,55.55555555555556
L Wood,72,40,10,100.0,55.55555555555556
MM English,74,41,107,86.29,55.4054054054054
M Faisal,65,36,26,49.06,55.38461538461539
RO Hussain,56,31,10,50.0,55.357142857142854
DR Brown,78,43,72,62.61,55.12820512820513
GA Rogers,78,43,32,64.0,55.12820512820513
PJC Hoffmann,78,43,30,130.43,55.12820512820513
ARI Umeed,49,27,138,99.28,55.10204081632653
PS Athavale,49,27,103,58.52,55.10204081632653
Shakeel Ahmed,49,27,69,52.27,55.10204081632653
Mehran Khan,49,27,66,94.29,55.10204081632653
Pooja Ganesh,20,11,0,0.0,55.0
RD Chahar,75,41,13,50.0,54.666666666666664
N Rana,75,41,7,50.0,54.666666666666664
K Gowtham,75,41,2,66.67,54.666666666666664
C Sakariya,75,41,0,0.0,54.666666666666664
O Davidson,33,18,14,42.42,54.54545454545455
S Horley,79,43,276,77.53,54.43037974683544
K Fraser,79,43,152,76.38,54.43037974683544
A Aitken-Drummond,79,43,33,68.75,54.43037974683544
C Abel,79,43,9,19.15,54.43037974683544
Sufyan Mehmood,46,25,4,25.0,54.34782608695652
BJ McMullen,85,46,888,83.93,54.11764705882353
C Tear,85,46,237,66.95,54.11764705882353
SW Currie,85,46,10,52.63,54.11764705882353
BJ Currie,85,46,9,40.91,54.11764705882353
CD de Lange,98,53,65,69.15,54.08163265306123
Nestor Dhamba,50,27,23,44.23,54.0
NFI McCallum,89,48,233,63.66,53.93258426966292
DF Watts,89,48,130,54.17,53.93258426966292
GI Maiden,89,48,12,85.71,53.93258426966292
Steven Ryan Taylor,13,7,46,56.79,53.84615384615385
GT Main,95,51,82,92.13,53.68421052631579
A Neill,95,51,29,67.44,53.68421052631579
CM McBride,82,44,386,70.44,53.65853658536585
TSS Mackintosh,82,44,169,83.25,53.65853658536585
KE Bryce,97,52,301,84.08,53.608247422680414
DEM Carter,97,52,200,71.17,53.608247422680414
SJ Bryce,97,52,171,66.54,53.608247422680414
PA Chatterji,97,52,123,51.46,53.608247422680414
L Jack,97,52,113,103.67,53.608247422680414
A Lister,97,52,80,71.43,53.608247422680414
M McColl,97,52,80,68.97,53.608247422680414
EL Watson,97,52,50,40.0,53.608247422680414
O Bell,97,52,32,41.56,53.608247422680414
HRA Rainey,97,52,12,34.29,53.608247422680414
AH Maqsood,97,52,12,33.33,53.608247422680414
JH Davey,99,53,193,61.86,53.535353535353536
MM Iqbal,99,53,16,27.59,53.535353535353536
RD Berrington,101,54,2292,74.37,53.46534653465346
KJ Coetzer,101,54,2280,80.68,53.46534653465346
CS MacLeod,101,54,2015,78.4,53.46534653465346
HG Munsey,101,54,1675,85.16,53.46534653465346
MH Cross,101,54,1675,67.98,53.46534653465346
MA Leask,101,54,1306,111.34,53.46534653465346
CD Wallace,101,54,515,86.12,53.46534653465346
SM Sharif,101,54,492,69.79,53.46534653465346
TB Sole,101,54,38,102.7,53.46534653465346
GM Hamilton,88,47,173,56.72,53.40909090909091
CJO Smith,88,47,157,65.42,53.40909090909091
NS Poonia,88,47,12,28.57,53.40909090909091
MA Jones,96,51,385,66.15,53.125
DE Budge,96,51,237,76.21,53.125
SG Whittingham,96,51,5,33.33,53.125
KE Broadmore,149,79,9,26.47,53.02013422818792
PL Mommsen,100,53,601,76.46,53.0
MW Machan,100,53,393,79.07,53.0
RM Haq,100,53,181,51.13,53.0
FRJ Coleman,100,53,160,72.73,53.0
HJW Gardiner,100,53,142,64.55,53.0
RML Taylor,100,53,105,82.03,53.0
I Wardlaw,100,53,18,54.55,53.0
D Murphy,100,53,9,32.14,53.0
KH Prajapati,51,27,996,73.72,52.94117647058823
Shoaib Khan,51,27,843,82.24,52.94117647058823
Naseem Khushi,51,27,360,107.46,52.94117647058823
VR Iyer,102,54,24,58.54,52.94117647058823
SB Bangar,104,55,8,42.11,52.88461538461539
WA Young,416,219,1426,86.16,52.64423076923077
TA Blundell,416,219,266,86.08,52.64423076923077
D Foxcroft,416,219,0,0.0,52.64423076923077
GH Worker,415,218,272,69.92,52.53012048192771
SC Kuggeleijn,415,218,11,183.33,52.53012048192771
FY Fazal,120,63,55,84.62,52.5
IR James,420,220,51,79.69,52.38095238095238
