player_name,Total_Runs,Strike_Rate,Total_Wickets_Taken,POTM
AJ Turner,192,116.36,2,1
GB Brent,192,62.95,25,2
SA Wijeratne,191,69.45,0,0
H Karunaratne,190,45.24,2,0
PP Shaw,189,108.62,0,1
A Saud,189,47.13,0,0
RD Rickelton,188,88.26,0,1
G Kirsten,186,81.58,0,0
BB Chari,186,45.15,0,0
CJ Jordan,184,84.4,47,2
S Rana,184,81.42,26,0
F Mutizwa,183,64.89,0,0
Sohag Gazi,182,87.92,24,2
ND McKenzie,182,70.0,0,0
RM Haq,181,51.13,27,1
CMA Shillington,179,89.95,0,0
Q Joseph,179,70.2,16,0
DM Richards,179,68.85,0,0
I Ranaweera,179,38.25,62,0
SR Thompson,178,89.9,10,0
JA McCollum,178,72.36,0,0
B Zuiderent,178,48.37,0,0
JAD Lawrenson,177,82.33,0,1
NR Kumar,177,57.84,2,0
H Patel,176,88.89,2,0
IC Gaze,176,59.66,0,0
S Forbes,175,51.17,0,0
IH Romaine,175,48.61,1,0
Raza-ur-Rehman,174,80.93,1,0
NW Bracken,174,65.66,168,3
G Voll,173,105.49,0,0
Mohammad Nawaz,173,79.0,21,2
Mohammad Boota,173,72.08,0,0
GM Hamilton,173,56.72,0,0
SJ Bryce,171,66.54,0,0
Najiha Alvi,170,62.73,0,0
Lata Mondal,170,48.71,2,0
TSS Mackintosh,169,83.25,0,0
AM Peterson,167,79.15,19,1
JG Bethell,167,78.77,4,0
AR Adams,165,107.14,28,2
Nurul Hasan,165,91.16,0,0
MJ Lumb,165,80.1,0,0
ST Doheny,165,60.0,0,0
KS Lokuarachchi,164,75.58,18,0
D Bishoo,164,61.89,38,0
L Klusener,163,104.49,12,1
Shan Masood,163,67.36,0,0
KP Meiyappan,163,47.66,38,0
Y Venugopal Rao,161,62.65,0,0
FRJ Coleman,160,72.73,0,0
SJ McGlashan,160,68.38,0,0
P Siaka,160,68.09,5,0
Akshay Homraj,159,69.13,0,0
J Kila,159,63.86,6,0
Shariz Ahmad,159,54.64,19,0
AGS Gous,157,110.56,0,1
Imran Tahir,157,67.38,180,4
CJO Smith,157,65.42,0,0
T Kaitano,157,59.47,0,0
Nasum Ahmed,156,87.64,14,1
CMW Read,156,70.59,0,0
SRH Curtis,156,66.67,0,0
A Kolan,155,52.19,0,0
C Zhuwao,154,112.41,0,0
MB Kruger,154,70.97,0,0
A Rawat,153,81.38,0,1
SP Patil,153,51.86,0,0
K Fraser,152,76.38,9,0
MDK Perera,152,73.43,13,0
AJ Redmond,152,57.14,0,0
D Ganga,152,50.33,0,0
AA Mulla,150,93.75,0,0
PJ Ongondo,150,60.0,34,0
JF Kloppenburg,149,62.08,7,1
BN Cooper,148,84.57,0,0
BOP Fernando,148,62.18,0,0
LM Kasperek,148,53.62,57,1
Khalid Latif,147,63.09,0,0
Shorna Akter,147,60.0,7,0
Nazimuddin,147,59.76,0,0
BYA Mendis,147,58.33,0,0
JA Burns,146,77.25,0,0
ID Blackwell,146,68.54,15,0
K Zondo,146,62.13,0,0
NC Dodd,145,48.49,0,1
D Devnarain,145,48.01,1,0
IJR Zwilling,145,41.31,29,0
CO Browne,144,84.21,0,0
S Jafta,144,51.8,0,0
Zahoor Khan,143,55.21,95,0
MB Loye,142,74.74,0,0
HJW Gardiner,142,64.55,0,0
RD Jacobs,142,63.11,0,0
VV Morea,142,62.28,0,0
