player_name,Total_Wickets_Taken,Total_Overs_Bowled,Wickets_Per_Over
I van der Woning,2,142,0.014084507042253521
CJ Metcalfe,5,358,0.013966480446927373
CK Hooper,1,72,0.013888888888888888
Nazmul Hossain Shanto,1,72,0.013888888888888888
MR Swart,2,144,0.013888888888888888
Shoaib Khan,2,146,0.0136986301369863
RS Gavaskar,1,73,0.0136986301369863
Faisal Hossain,1,73,0.0136986301369863
SM Kavanagh,1,74,0.013513513513513514
W Mwayenga,1,74,0.013513513513513514
HT Tector,2,148,0.013513513513513514
KE Broadmore,1,74,0.013513513513513514
Zulfiqar Babar,4,297,0.013468013468013467
MG Neser,3,224,0.013392857142857142
L Cheatle,2,154,0.012987012987012988
ME Trescothick,2,155,0.012903225806451613
N Shangase,6,467,0.01284796573875803
Lata Mondal,2,159,0.012578616352201259
B Fernando,2,159,0.012578616352201259
CS Terblanche,1,81,0.012345679012345678
CA Reid,1,81,0.012345679012345678
JS Ababu,1,81,0.012345679012345678
